,city,pop_2018_est
384,Potter Valley,437
385,Princeton,297
386,Proberta,165
387,Rackerby,189
388,Red Corral,1930
389,Redcrest,23
390,Watsonville,53616
391,Earlimart,8790
392,East Orosi,955
393,Redwood Valley,1376
394,Reliez Valley,3575
395,Richfield,272
396,Richvale,99
397,Rio Oso,406
398,Ripley,408
399,River Pines,607
400,Robbins,321
401,Robinson Mill,35
402,Rodriguez Camp,87
403,Rolling Hills,896
404,Rose Hills,2612
405,Rough and Ready,828
406,Rouse,2420
407,Ruth,145
408,Rutherford,72
409,Salmon Creek,20
410,Samoa,284
411,San Miguel (Contra Costa County),2993
412,San Miguel (San Luis Obispo County),2807
413,San Pasqual,1932
414,San Simeon,583
415,Santa Margarita,1252
416,Santa Nella,2508
417,Santa Rosa Valley,3180
418,Santa Susana,1050
419,Saranap,6492
420,Saticoy,1201
421,Bodega,473
422,Bonny Doon,3009
423,Bridgeport,464
424,Brookdale,2345
425,Brooktrails,3709
426,Buckhorn,2246
427,Boulevard,445
428,Buck Meadows,51
429,Buena Vista,526
430,Burnt Ranch,338
431,Butte Creek Canyon,931
432,Butte Meadows,53
433,Butte Valley,510
434,California Hot Springs,36
435,California Pines,488
436,Callender,1583
437,Calpella,562
438,Calpine,216
439,Camanche North Shore,1029
440,Camanche Village,620
441,Camino,1799
442,Camino Tassajara,3798
443,Camp Nelson,0
444,Campo,3482
445,Camptonville,162
446,Canby,497
447,Carmet,0
448,Pixley,3796
449,Terra Bella,3304
450,Tulare,62838
451,Arbuckle,3636
452,Lenwood,3884
453,Montclair,38865
454,Mountain View Acres,4260
455,San Antonio Heights,3034
456,Twentynine Palms,26109
457,Lompoc,43511
458,Solvang,5734
459,Vandenberg Village,7861
460,Foothill Farms,33749
461,North Highlands,48968
462,La Crescenta-Montrose,19500
463,Rancho Murieta,5603
464,El Segundo,16850
465,Irwindale,1405
466,Lomita,20628
467,Long Beach,468883
468,Pasadena,141246
469,Pomona,152494
470,South San Jose Hills,20593
471,Val Verde,2996
472,Walnut,30008
473,West Carson,22537
474,West Whittier-Los Nietos,27144
475,Copperopolis,4299
476,Murphys,2100
477,Napa,79516
478,St. Helena,6079
479,Colton,54415
480,Loma Linda,24078
481,Mentone,9847
482,Muscoy,13726
483,Summerland,923
484,Vandenberg AFB,3379
485,Dixon Lane-Meadow Creek,2760
486,Shoshone,13
487,Belden,0
488,Bucks Lake,15
489,Lake San Marcos,4890
490,Carmel Valley Village,4293
491,Mount Hebron,78
492,Mount Shasta,3284
493,Chualar,1442
494,Monterey,28512
