,city,pop_2018_est,mh_spaces
468,Pasadena,141246,
469,Pomona,152494,1706.0
470,South San Jose Hills,20593,
471,Val Verde,2996,
472,Walnut,30008,133.0
473,West Carson,22537,
474,West Whittier-Los Nietos,27144,
475,Copperopolis,4299,3.0
476,Murphys,2100,183.0
477,Napa,79516,1608.0
478,St. Helena,6079,
479,Colton,54415,958.0
480,Loma Linda,24078,530.0
481,Mentone,9847,272.0
482,Muscoy,13726,
483,Summerland,923,38.0
484,Vandenberg AFB,3379,
485,Dixon Lane-Meadow Creek,2760,
486,Shoshone,13,19.0
487,Belden,0,4.0
488,Bucks Lake,15,
489,Lake San Marcos,4890,
490,Carmel Valley Village,4293,
491,Mount Hebron,78,
492,Mount Shasta,3284,197.0
493,Chualar,1442,
494,Monterey,28512,
495,Soledad,25597,186.0
496,Camp Pendleton South,11459,
497,Coronado,23620,
498,Encinitas,62713,631.0
499,Escondido,151115,4042.0
500,Wildomar,36162,52.0
501,Menifee,88515,392.0
502,Dublin,59172,
503,Emeryville,11724,
504,Costa Mesa,113198,953.0
505,Orange,139873,1172.0
506,Alondra Park,8097,
507,Altadena,45146,
508,Claremont,36025,
509,El Monte,115669,1514.0
510,Glendora,51773,743.0
511,Huntington Park,58694,24.0
512,Carnelian Bay,463,
513,Casmalia,111,
514,Caspar,812,
515,Castaic,18921,322.0
516,Castle Hill,1145,
517,Catheys Valley,794,27.0
518,Cazadero,288,
519,Cedar Ridge,1037,
520,Cedar Slope,0,
521,Alto,765,
522,Anchor Bay,314,
523,Anza,3151,61.0
524,Auburn Lake Trails,3499,
525,Ballard,473,
526,Artois,292,
527,Aspen Springs,67,
528,Baker,607,109.0
529,Ballico,401,
530,Bangor,372,
531,Bass Lake,500,64.0
532,Bayview (Contra Costa County),1954,
533,Bayview (Humboldt County),2617,
534,Bear Creek,157,
535,Bell Canyon,2391,
536,Benbow,161,
537,Bend,457,
538,Benton,313,11.0
539,Berry Creek,1241,
540,Bieber,178,18.0
541,Bear Valley (Alpine County),58,
542,Colma,1450,
543,Emerald Lake Hills,4594,
544,Blythe,19581,459.0
545,La Habra Heights,5383,
546,Lakewood,80771,84.0
547,Malibu,12846,561.0
548,Rancho Palos Verdes,42271,
549,Soquel,10862,739.0
550,East Oakdale,3344,
551,Mountain Ranch,1306,
552,Crestline,9381,198.0
553,Grand Terrace,12482,276.0
554,Hesperia,93609,741.0
555,Lake Arrowhead,9765,93.0
556,Yucaipa,53264,4557.0
557,Isla Vista,27690,
558,Mission Hills,3796,294.0
559,Rosemont,23617,
560,Hamilton City,2224,36.0
561,Big Bear City,13312,250.0
562,Montague,1517,62.0
563,Cottonwood,3289,166.0
564,Shingletown,2272,47.0
565,August,8774,
566,Escalon,7509,148.0
567,Ridgemark,3062,
568,Cantua Creek,273,
569,Sebastopol,7666,177.0
570,Lemoore Station,7063,
571,Parlier,15120,3.0
572,Willowbrook,22402,
573,Hidden Valley Lake,6044,
574,Lancaster,159662,4177.0
575,Rowland Heights,50602,515.0
576,Mi-Wuk Village,1133,
577,Carpinteria,13550,860.0
578,North San Juan,328,
579,North Shore,2892,
580,Nubieber,20,
581,Oak Glen,420,
582,Oak Hills,9700,
583,Oak Shores,282,
584,Oakville,188,
585,Oasis,3020,
586,Old Fig Garden,5529,
587,Old Station,35,
588,Orick,296,20.0
589,Pajaro Dunes,255,
590,Delhi,11735,68.0
591,Dos Palos,5272,9.0
592,Hanford,55893,545.0
593,San Juan Bautista,2106,19.0
594,Monte Rio,1156,15.0
595,Sonoma,11074,1119.0
596,Windsor,27506,437.0
597,Soulsbyville,2286,
598,Burney,3807,174.0
599,McArthur,386,
600,Temple City,36137,
601,Vernon,90,
602,View Park-Windsor Hills,11580,
603,West Athens,8574,
604,Angwin,3424,42.0
605,Calistoga,5285,675.0
606,Columbia,2217,238.0
607,Jamestown,2687,570.0
608,Tuolumne City,1577,
609,Millville,682,
610,Round Mountain,112,20.0
611,Acampo,294,192.0
612,Acalanes Ridge,889,
613,Adin,201,20.0
614,Agua Dulce,3728,37.0
615,Aguanga,835,
616,Ahwahnee,2461,
617,Airport,1222,
618,Alhambra Valley,739,
619,Antelope,47326,154.0
620,Albion,302,2.0
621,Alderpoint,157,
622,Alleghany,30,
623,Allendale,1362,
624,Allensworth,527,
625,Alta,485,
626,Biggs,2323,2.0
627,Oroville,19040,1620.0
628,Palermo,5544,49.0
629,South Oroville,3181,
630,Thermalito,6704,
631,Borrego Springs,2252,813.0
632,Bostonia,17530,27.0
633,Del Mar,4340,
634,El Cajon,103285,5359.0
635,Castroville,6686,330.0
636,Lake Los Angeles,11469,
637,Del Rey Oaks,1596,
638,Elkhorn,1151,
639,Sand City,318,
640,Benicia,28088,266.0
641,Dixon,19759,34.0
642,Arroyo Grande,18039,889.0
643,Atascadero,30037,398.0
644,Oceano,7678,443.0
645,Shandon,1141,
646,Lathrop,21393,333.0
647,El Granada,5819,
648,San Mateo,104035,
649,South Taft,1526,
650,Boron,2312,169.0
651,Eureka,27020,768.0
652,Isleton,583,249.0
653,Ladera Heights,7090,
654,Westmont,33723,
655,Fair Oaks,31002,
656,Bakersfield,375699,4665.0
657,Corona,165355,1381.0
658,Woodcrest,17310,
659,Mammoth Lakes,8091,174.0
660,Cabazon,3367,
661,French Camp,3857,15.0
662,Clearlake Oaks,2279,284.0
663,Canyon Lake,11106,1.0
664,Winters,7132,91.0
665,Deer Park,906,
666,Tara Hills,5405,
667,Mill Valley,14343,
668,Le Grand,1726,
669,Brentwood,60446,245.0
670,Pleasant Hill,34785,43.0
671,Roseville,133049,522.0
672,Williams,5223,28.0
673,Loyalton,1149,21.0
674,Sunnyside-Tahoe City,1222,
675,East Richmond Heights,3214,
676,Chino,87735,554.0
677,Salton Sea Beach,355,
678,Carrick,47,
679,Rainbow,1994,5.0
680,Victorville,121861,1248.0
681,Keeler,15,
682,Blairsden,25,4.0
683,Point Arena,418,1.0
684,Crest,2746,
685,Rancho San Diego,21289,
686,San Diego Country Estates,10381,
687,Anaheim,349668,3542.0
688,Fullerton,139866,815.0
689,Brea,42330,952.0
690,Cypress,48955,340.0
691,Dana Point,33913,169.0
692,Huntington Beach,200606,2909.0
693,Rossmoor,11160,
694,Fillmore,15598,335.0
695,El Rio,6505,
696,Vallecito,183,
697,San Bernardino,215182,3861.0
698,Orland,7541,309.0
699,Running Springs,4296,
700,Delleker,514,
701,Hacienda Heights,54970,456.0
702,Lakeside,22560,1972.0
703,National City,60896,362.0
704,Rancho Santa Fe,2591,
705,San Marcos,94709,3590.0
706,Bodega Bay,733,32.0
707,Boyes Hot Springs,7863,
708,Santa Rosa,181038,3758.0
709,Temelec,1564,
710,Fountain Valley,56372,374.0
711,Avenal,12923,23.0
712,Kettleman City,1395,
713,Irvine,265502,893.0
714,Los Alamitos,11628,109.0
715,Newark,46276,
716,Easton,2206,
717,Kerman,14649,116.0
718,Sonora,4822,874.0
719,Twain Harte,2523,35.0
720,Redway,1199,96.0
721,Rio Dell,3382,92.0
722,Sattley,77,
723,Scotia,602,1.0
724,Seacliff,3201,
725,Sea Ranch,1161,
726,Sequoia Crest,28,
727,Sereno del Mar,82,
728,Seville,691,
729,Shasta,1804,41.0
730,Shell Ridge,1281,
731,Shelter Cove,501,
732,Sheridan,1250,25.0
733,Hercules,25343,
734,Oakley,40669,331.0
735,Rodeo,10411,24.0
736,Coalinga,16538,283.0
737,Fresno,522277,4192.0
738,West Sacramento,52826,1325.0
