,city,mh_spaces
327,Hilmar,178.0
620,Reedley,179.0
421,Lockeford,181.0
685,Saugus,182.0
503,Murphys,183.0
173,Colusa,183.0
647,Salton City,185.0
430,Loomis,185.0
382,Laguna Beach,185.0
706,Soledad,186.0
584,Pioneer,186.0
611,Rancho Murieta,189.0
218,Downey,190.0
249,Exeter,190.0
10,Acampo,192.0
366,Kernville,194.0
111,Calexico,196.0
500,Mount Shasta,197.0
789,Westlake Village,197.0
694,Shafter,198.0
188,Crestline,198.0
489,Montebello,199.0
812,Woodland Hills,199.0
649,San Andreas,200.0
241,Elk Grove,202.0
159,Clayton,203.0
786,West Hills,203.0
167,Coarsegold,203.0
707,Solvang,204.0
225,Dunnigan,213.0
442,Lucerne,214.0
23,Angels Camp,218.0
15,Agoura,220.0
18,Alpine,222.0
396,Lamont,224.0
110,Calabasas,224.0
370,Kingsburg,224.0
808,Wofford Heights,224.0
11,Acton,225.0
736,Temecula,225.0
497,Moss Beach,227.0
36,Arvin,228.0
704,Smith River,229.0
342,Idyllwild,229.0
515,Newcastle,231.0
516,Newhall,231.0
524,North Hollywood,231.0
604,Quincy,234.0
412,Lindsay,235.0
635,Rosemead,235.0
543,Orcutt,235.0
743,Topanga,236.0
172,Columbia,238.0
713,South Gate,239.0
485,Monrovia,239.0
492,Moorpark,240.0
484,Mojave,242.0
666,San Pedro,242.0
123,Campbell,243.0
98,Brentwood,245.0
293,Granite Bay,246.0
627,Riverbank,247.0
315,Hawaiian Gardens,247.0
739,Thermal,247.0
350,Isleton,249.0
70,Big Bear City,250.0
696,Shasta Lake,251.0
383,Laguna Hills,252.0
436,Los Molinos,253.0
476,Midway City,255.0
104,Buena Park,256.0
530,Oakhurst,257.0
12,Adelanto,257.0
645,Saint Helena,259.0
785,West Covina,265.0
65,Benicia,266.0
469,Mentone,272.0
49,Baldwin Park,275.0
727,Sunland,275.0
292,Grand Terrace,276.0
149,Cherry Valley,278.0
166,Coalinga,283.0
161,Clearlake Oaks,284.0
669,San Ysidro,288.0
351,Jackson,289.0
815,Yorba Linda,290.0
447,Madera,292.0
482,Mission Hills,294.0
266,Fortuna,295.0
389,Lake Isabella,298.0
71,Big Bear Lake,298.0
211,Dinuba,301.0
262,Foresthill,302.0
103,Buellton,308.0
546,Orland,309.0
201,Delano,310.0
139,Castro Valley,310.0
816,Yountville,317.0
137,Castaic,322.0
140,Castroville,330.0
532,Oakley,331.0
399,Lathrop,333.0
255,Fillmore,335.0
195,Cypress,340.0
277,Galt,343.0
817,Yreka,344.0
264,Fort Bragg,344.0
96,Brawley,344.0
741,Thousand Oaks,344.0
377,La Mesa,345.0
776,Warner Springs,345.0
329,Hollister,346.0
434,Los Banos,346.0
285,Gilroy,349.0
749,Truckee,351.0
178,Corning,360.0
554,Pacific Palisades,360.0
510,National City,362.0
165,Coachella,362.0
693,Selma,366.0
592,Pleasanton,371.0
267,Fountain Valley,374.0
27,Antioch,379.0
670,Sanger,380.0
735,Tehachapi,383.0
729,Susanville,384.0
386,Lake Elsinore,386.0
57,Beaumont,387.0
763,Valley Center,387.0
406,Lemoore,392.0
468,Menifee,392.0
642,S El Monte,392.0
667,San Rafael,397.0
37,Atascadero,398.0
454,Marina,399.0
368,King City,400.0
542,Orangevale,402.0
580,Pico Rivera,405.0
799,Willits,407.0
61,Bell Gardens,412.0
652,San Clemente,413.0
